Name in .nc file,Variable,Unit,Category,Data stored in,Data format,Resolution,Time,Integration method,Scripts that need to be revised in wofost C
N_total_dep,N deposition,kg N/ha,Nutrient input,New deposition file,"[time, lat, lon]",Daily,-,Same as meteo data,
P_total_dep,P deposition ,kg P/ha,Nutrient input,,"[time, lat, lon]",Daily,-,Same as meteo data,
,Irrigation amount,mm,Water input,New irrigation file,"[time, lat, lon]",Monthly,When the water stress value is lower than?,"Similar to mask, but need to extend the time dimension",
,Residue return ratio,-,Parameter,New fertilization file,"[time, lat, lon]",Annual,-,"Similar to mask, but need to extend the time dimension",
,Manure N input,kg/ha,Nutrient input,,"[time, lat, lon]",Annual,3 days before sowing?,"Similar to mask, but need to extend the time dimension",
,Urea-based inorganic N input,kg/ha,Nutrient input,,"[time, lat, lon]",Annual,3 days before sowing?,"Similar to mask, but need to extend the time dimension",
,Other inorganic N input,kg/ha,Nutrient input,,"[time, lat, lon]",Annual,3 days before sowing?,"Similar to mask, but need to extend the time dimension",
,Manure P input,kg/ha,Nutrient input,,"[time, lat, lon]",Annual,3 days before sowing?,"Similar to mask, but need to extend the time dimension",
,Inorganic P input,kg/ha,Nutrient input,,"[time, lat, lon]",Annual,3 days before sowing?,"Similar to mask, but need to extend the time dimension",
,EF_NOX,-,Parameter,,"[time, lat, lon]",Annual,-,"Similar to mask, but need to extend the time dimension",
,EF_NH3,-,Parameter,,-,-,-,Table,
,EF_N2O,-,Parameter,Current mask file,"[lat, lon]",-,,Mask + Table,
,Topsoil (30cm) organic carbon,-,Soil background value,,"[lat, lon]",-,-,Mask,
,Topsoil (30cm) bulk density,kg/dm3,Soil background value,,"[lat, lon]",-,-,Mask,
,NC ratio,-,Soil background value,,"[lat, lon]",-,-,Mask,
,PC ratio,-,Soil background value,,"[lat, lon]",-,-,Mask,
,Slope,-,Soil background value,,"[lat, lon]",-,-,Mask,
,Texture class,-,Soil background value,,"[lat, lon]",-,-,Mask,
,Clay content,-,Soil background value,,"[lat, lon]",-,-,Mask,
,(Al+Fe)ox,mmol/kg,Soil background value,,"[lat, lon]",-,-,Mask,
,Olsen P,mmol/kg,Soil background value,,"[lat, lon]",-,-,Mask,
,Cimate zone,for EF_N2O calculation,Parameter,,"[lat, lon]",-,-,Mask,
